X,Y
113.4126003,23.11747073
113.4125203,23.11744838
113.605262,23.2819298
113.445926,22.78224306
113.445926,22.78224306
113.385433,23.11756363
113.4597129,22.92130608
113.4054073,23.10063059
113.4054073,23.10063059
113.4054073,23.10063059
113.4054073,23.10063059
113.4054073,23.10063059
113.374033,23.11823104
113.4086487,23.2791052
113.3714056,23.1024794
113.3166531,22.93977549
113.4035357,23.09929377
113.4035357,23.09929377
113.4035357,23.09929377
113.5559986,23.19013283
113.5559986,23.19013283
113.4125203,23.11744838
113.5559986,23.19013283
113.3714056,23.1024794
113.5568772,23.18988958
113.8806402,23.37777362
113.8806402,23.37777362
113.4218881,23.09657788
113.6051653,23.1656618
113.4125203,23.11744838
113.4125203,23.11744838
113.4242187,23.10321427
113.4242187,23.10321427
113.4125203,23.11744838
113.4125203,23.11744838
113.5750291,23.20006101
113.5750291,23.20006101
113.4125203,23.11744838
113.4125203,23.11744838
113.3906268,22.9248373
113.4072188,23.1242377
113.4072188,23.1242377
113.4072188,23.1242377
113.4072188,23.1242377
113.4072188,23.1242377
113.3609195,23.23252418
113.4125203,23.11744838
113.4125203,23.11744838
113.4125203,23.11744838
113.4125203,23.11744838
113.4125203,23.11744838
113.4125203,23.11744838
113.4074062,23.11725295
113.4125203,23.11744838
113.5417921,22.78953412
113.3538398,22.88240799
113.8865136,23.37182851
113.8865136,23.37182851
113.2078787,23.23840875
113.2078787,23.23840875
113.4035357,23.09929377
113.4125203,23.11744838
113.4125203,23.11744838
113.888406,23.39760302
113.5743467,23.2037446
113.5743467,23.2037446
113.4060485,23.09649854
113.4910364,23.2860824
113.4016836,22.97778794
113.621444,23.32119707
113.4033399,23.10987943
113.4033399,23.10987943
113.4033399,23.10987943
113.4033399,23.10987943
113.4033399,23.10987943
113.4033399,23.10987943
113.4033399,23.10987943
113.4033399,23.10987943
113.4201802,23.06890065
113.4125203,23.11744838
113.4035357,23.09929377
113.4035357,23.09929377
113.137412,23.33554317
113.4380717,23.12317683
113.4380717,23.12317683
113.3714056,23.1024794
113.4975978,23.30479478
113.3665202,23.02563684
113.4192582,23.09243578
113.5559986,23.19013283
113.408248,23.10960703
113.5743467,23.2037446
113.3129113,23.12580808
113.4597129,22.92130608
113.4597129,22.92130608
113.4259464,23.10320754
113.4259464,23.10320754
113.4125203,23.11744838
113.4125203,23.11744838
113.4125203,23.11744838
113.2275208,23.13352676
113.8921035,23.43155906
113.4988999,23.30456518
113.4125203,23.11744838
113.3936148,23.08126621
113.3936148,23.08126621
113.4099595,23.07056204
113.4125203,23.11744838
113.4125203,23.11744838
113.4363896,23.25273069
113.4049202,23.11086454
113.4049202,23.11086454
113.4218881,23.09657788
113.4125203,23.11744838
113.4125203,23.11744838
113.4125203,23.11744838
113.4125203,23.11744838
113.4125203,23.11744838
113.617438,23.132919
113.617438,23.132919
113.617438,23.132919
113.582639,23.25744276
113.582639,23.25744276
113.4411471,23.10156659
113.401604,23.081364
113.6307414,23.18516821
113.6307414,23.18516821
113.1023835,23.29776098
113.451386,23.08947663
113.4035429,23.11396514
113.4125203,23.11744838
113.4349305,23.09377441
113.3714056,23.1024794
